run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
15,0.6,6.0,13.0,14.0,23.0
16,0.6,5.0,9.0,105.0,183.0
17,0.6,5.0,7.0,121.0,208.0
18,0.6,6.0,10.0,104.0,260.0
19,0.6,6.0,14.0,85.0,165.0
20,0.6,7.0,7.0,103.0,219.0
21,0.6,4.0,16.0,30.0,83.0
22,0.6,4.0,4.0,107.0,158.0
23,0.6,6.0,13.0,54.0,119.0
24,0.6,5.0,3.0,131.0,252.0
25,0.6,5.0,4.0,118.0,225.0
26,0.6,5.0,20.0,43.0,90.0
27,0.6,4.0,8.0,98.0,181.0
28,0.6,6.0,6.0,91.0,202.0
29,0.6,6.0,10.0,113.0,239.0
30,0.6,4.0,12.0,100.0,203.0
31,0.6,5.0,9.0,78.0,145.0
32,0.6,7.0,18.0,11.0,78.0
33,0.6,5.0,14.0,64.0,170.0
34,0.6,6.0,2.0,117.0,250.0
35,0.6,5.0,14.0,69.0,112.0
36,0.6,5.0,4.0,110.0,198.0
37,0.6,5.0,19.0,39.0,108.0
38,0.6,4.0,10.0,83.0,160.0
39,0.6,5.0,15.0,58.0,144.0
40,0.6,5.0,11.0,61.0,126.0
41,0.6,5.0,5.0,119.0,176.0
42,0.6,5.0,6.0,83.0,177.0
43,0.6,6.0,13.0,78.0,159.0
44,0.6,5.0,5.0,131.0,236.0
45,0.6,7.0,3.0,108.0,242.0
46,0.6,5.0,12.0,90.0,164.0
47,0.6,4.0,5.0,131.0,195.0
48,0.6,5.0,11.0,48.0,93.0
49,0.6,6.0,10.0,74.0,218.0
50,0.6,6.0,11.0,63.0,143.0
51,0.6,5.0,8.0,74.0,162.0
52,0.6,5.0,5.0,102.0,196.0
53,0.6,5.0,17.0,35.0,62.0
54,0.6,7.0,8.0,98.0,230.0
55,0.6,4.0,15.0,25.0,44.0
56,0.6,5.0,24.0,18.0,83.0
57,0.6,5.0,4.0,123.0,247.0
58,0.6,5.0,5.0,83.0,157.0
59,0.6,4.0,5.0,112.0,192.0
60,0.6,5.0,19.0,46.0,122.0
61,0.6,7.0,11.0,52.0,164.0
62,0.6,5.0,8.0,85.0,148.0
63,0.6,6.0,14.0,16.0,52.0
64,0.6,4.0,9.0,106.0,220.0
65,0.6,6.0,6.0,104.0,248.0
66,0.6,4.0,9.0,80.0,132.0
67,0.6,5.0,13.0,47.0,88.0
68,0.6,5.0,3.0,129.0,294.0
69,0.6,5.0,7.0,106.0,198.0
70,0.6,6.0,4.0,100.0,187.0
71,0.6,6.0,9.0,86.0,198.0
72,0.6,6.0,8.0,123.0,278.0
73,0.6,5.0,4.0,111.0,273.0
74,0.6,6.0,2.0,121.0,280.0
75,0.6,6.0,11.0,111.0,196.0
76,0.6,5.0,8.0,77.0,160.0
77,0.6,5.0,19.0,39.0,124.0
78,0.6,4.0,13.0,81.0,125.0
79,0.6,5.0,8.0,88.0,179.0
80,0.6,5.0,8.0,123.0,279.0
81,0.6,5.0,14.0,64.0,162.0
82,0.6,5.0,13.0,82.0,151.0
83,0.6,5.0,6.0,109.0,201.0
84,0.6,5.0,8.0,119.0,210.0
85,0.6,4.0,3.0,113.0,195.0
86,0.6,4.0,8.0,105.0,155.0
87,0.6,4.0,10.0,106.0,180.0
88,0.6,5.0,10.0,46.0,81.0
89,0.6,5.0,8.0,90.0,164.0
90,0.6,6.0,3.0,123.0,239.0
91,0.6,5.0,13.0,107.0,205.0
92,0.6,6.0,9.0,81.0,163.0
93,0.6,5.0,12.0,63.0,135.0
94,0.6,6.0,6.0,92.0,215.0
95,0.6,5.0,14.0,52.0,129.0
96,0.6,4.0,11.0,60.0,100.0
97,0.6,4.0,6.0,95.0,159.0
98,0.6,6.0,16.0,75.0,163.0
99,0.6,5.0,8.0,97.0,170.0
100,0.6,7.0,4.0,127.0,214.0
1,0.8,4.0,9.0,60.0,88.0
2,0.8,6.0,18.0,55.0,135.0
3,0.8,5.0,5.0,81.0,194.0
4,0.8,5.0,7.0,113.0,187.0
5,0.8,7.0,7.0,113.0,204.0
6,0.8,5.0,12.0,59.0,149.0
7,0.8,5.0,3.0,116.0,234.0
8,0.8,6.0,7.0,101.0,219.0
9,0.8,6.0,2.0,97.0,172.0
10,0.8,5.0,10.0,63.0,158.0
11,0.8,5.0,7.0,85.0,141.0
12,0.8,4.0,12.0,91.0,169.0
13,0.8,5.0,10.0,82.0,112.0
14,0.8,6.0,12.0,78.0,186.0
15,0.8,4.0,8.0,84.0,174.0
16,0.8,5.0,8.0,76.0,132.0
17,0.8,6.0,6.0,106.0,279.0
18,0.8,6.0,17.0,28.0,78.0
19,0.8,5.0,10.0,109.0,150.0
20,0.8,5.0,16.0,47.0,77.0
21,0.8,4.0,4.0,152.0,232.0
22,0.8,7.0,16.0,71.0,178.0
23,0.8,4.0,16.0,24.0,50.0
24,0.8,5.0,12.0,57.0,113.0
25,0.8,5.0,12.0,70.0,124.0
26,0.8,5.0,9.0,80.0,152.0
27,0.8,6.0,12.0,37.0,84.0
28,0.8,5.0,8.0,88.0,192.0
29,0.8,5.0,4.0,121.0,255.0
30,0.8,5.0,17.0,37.0,54.0
31,0.8,6.0,5.0,114.0,221.0
32,0.8,5.0,4.0,125.0,206.0
33,0.8,5.0,6.0,106.0,159.0
34,0.8,7.0,12.0,94.0,209.0
35,0.8,5.0,14.0,74.0,218.0
36,0.8,5.0,18.0,51.0,80.0
37,0.8,5.0,10.0,72.0,169.0
38,0.8,5.0,13.0,81.0,169.0
39,0.8,6.0,11.0,109.0,190.0
40,0.8,5.0,2.0,131.0,235.0
41,0.8,4.0,11.0,66.0,111.0
42,0.8,5.0,9.0,95.0,169.0
43,0.8,4.0,13.0,24.0,85.0
44,0.8,5.0,11.0,68.0,142.0
45,0.8,7.0,9.0,76.0,142.0
46,0.8,4.0,5.0,98.0,154.0
47,0.8,6.0,8.0,86.0,155.0
48,0.8,5.0,15.0,84.0,137.0
49,0.8,4.0,11.0,70.0,141.0
50,0.8,4.0,4.0,96.0,131.0
51,0.8,4.0,12.0,60.0,95.0
52,0.8,5.0,6.0,115.0,228.0
53,0.8,6.0,26.0,24.0,62.0
54,0.8,5.0,8.0,116.0,224.0
55,0.8,5.0,11.0,78.0,161.0
56,0.8,4.0,14.0,93.0,164.0
57,0.8,5.0,6.0,75.0,149.0
58,0.8,5.0,13.0,76.0,192.0
59,0.8,5.0,2.0,134.0,276.0
60,0.8,8.0,8.0,101.0,281.0
61,0.8,6.0,7.0,108.0,219.0
62,0.8,6.0,6.0,126.0,289.0
63,0.8,5.0,9.0,54.0,126.0
64,0.8,4.0,8.0,81.0,165.0
65,0.8,4.0,6.0,92.0,176.0
66,0.8,4.0,10.0,53.0,65.0
67,0.8,6.0,18.0,20.0,33.0
68,0.8,6.0,7.0,86.0,171.0
69,0.8,5.0,2.0,127.0,251.0
70,0.8,5.0,12.0,31.0,89.0
71,0.8,6.0,10.0,107.0,191.0
72,0.8,7.0,13.0,62.0,115.0
73,0.8,6.0,9.0,69.0,223.0
74,0.8,5.0,4.0,123.0,277.0
75,0.8,5.0,8.0,104.0,202.0
76,0.8,4.0,9.0,86.0,132.0
77,0.8,5.0,4.0,98.0,215.0
78,0.8,5.0,11.0,64.0,161.0
79,0.8,7.0,4.0,112.0,286.0
80,0.8,4.0,10.0,106.0,155.0
81,0.8,5.0,6.0,111.0,164.0
82,0.8,6.0,13.0,74.0,163.0
83,0.8,6.0,15.0,35.0,73.0
84,0.8,7.0,12.0,96.0,253.0
85,0.8,5.0,11.0,68.0,106.0
