run,peak_infection,total_abx_days,abx_days_per_baby,selection_events,transmission_R,total_recoveries,cumulative_I_R,scenario,baseline,strategy,prevalence_I_R
16,5.0,439.0,73.17,17.0,36.0,47.0,81.0,Mid_B,Mid,B,0.05704225352112676
17,6.0,404.0,101.0,15.0,55.0,55.0,102.0,Mid_B,Mid,B,0.07183098591549296
18,4.0,309.0,103.0,9.0,87.0,46.0,144.0,Mid_B,Mid,B,0.10140845070422536
19,6.0,249.0,24.9,8.0,114.0,47.0,193.0,Mid_B,Mid,B,0.1359154929577465
20,5.0,310.0,31.0,6.0,67.0,46.0,144.0,Mid_B,Mid,B,0.10140845070422536
21,6.0,341.0,34.1,9.0,73.0,52.0,166.0,Mid_B,Mid,B,0.11690140845070422
22,4.0,401.0,80.2,13.0,66.0,43.0,130.0,Mid_B,Mid,B,0.09154929577464789
23,6.0,297.0,148.5,7.0,78.0,45.0,172.0,Mid_B,Mid,B,0.12112676056338029
24,6.0,296.0,29.6,5.0,101.0,50.0,248.0,Mid_B,Mid,B,0.17464788732394365
25,6.0,237.0,59.25,5.0,110.0,45.0,228.0,Mid_B,Mid,B,0.16056338028169015
26,5.0,358.0,35.8,13.0,52.0,52.0,164.0,Mid_B,Mid,B,0.11549295774647887
27,5.0,353.0,50.43,16.0,57.0,48.0,145.0,Mid_B,Mid,B,0.10211267605633803
28,5.0,322.0,32.2,12.0,80.0,48.0,150.0,Mid_B,Mid,B,0.1056338028169014
29,6.0,430.0,430.0,7.0,35.0,51.0,104.0,Mid_B,Mid,B,0.07323943661971831
30,5.0,420.0,42.0,15.0,57.0,49.0,152.0,Mid_B,Mid,B,0.10704225352112676
31,6.0,419.0,41.9,9.0,43.0,44.0,170.0,Mid_B,Mid,B,0.11971830985915492
32,4.0,280.0,280.0,3.0,92.0,39.0,126.0,Mid_B,Mid,B,0.08873239436619719
33,5.0,317.0,317.0,6.0,73.0,52.0,158.0,Mid_B,Mid,B,0.11126760563380282
34,5.0,415.0,41.5,16.0,43.0,59.0,112.0,Mid_B,Mid,B,0.07887323943661972
35,5.0,326.0,108.67,17.0,76.0,41.0,182.0,Mid_B,Mid,B,0.12816901408450704
36,5.0,385.0,128.33,8.0,51.0,58.0,87.0,Mid_B,Mid,B,0.06126760563380282
37,5.0,356.0,178.0,14.0,75.0,49.0,173.0,Mid_B,Mid,B,0.12183098591549296
38,5.0,313.0,31.3,10.0,86.0,52.0,128.0,Mid_B,Mid,B,0.09014084507042254
39,5.0,233.0,233.0,5.0,96.0,46.0,146.0,Mid_B,Mid,B,0.1028169014084507
40,4.0,211.0,70.33,2.0,117.0,37.0,148.0,Mid_B,Mid,B,0.10422535211267606
41,6.0,376.0,376.0,11.0,62.0,38.0,163.0,Mid_B,Mid,B,0.1147887323943662
42,5.0,336.0,33.6,11.0,63.0,51.0,89.0,Mid_B,Mid,B,0.06267605633802817
43,4.0,429.0,42.9,21.0,33.0,48.0,70.0,Mid_B,Mid,B,0.04929577464788732
44,5.0,359.0,119.67,11.0,75.0,44.0,107.0,Mid_B,Mid,B,0.07535211267605633
45,4.0,254.0,25.4,6.0,103.0,45.0,172.0,Mid_B,Mid,B,0.12112676056338029
46,6.0,335.0,33.5,5.0,87.0,54.0,222.0,Mid_B,Mid,B,0.1563380281690141
47,5.0,219.0,Inf,6.0,101.0,38.0,172.0,Mid_B,Mid,B,0.12112676056338029
48,7.0,298.0,49.67,9.0,99.0,34.0,225.0,Mid_B,Mid,B,0.15845070422535212
49,5.0,338.0,33.8,5.0,95.0,50.0,196.0,Mid_B,Mid,B,0.13802816901408452
50,6.0,262.0,26.2,7.0,106.0,46.0,224.0,Mid_B,Mid,B,0.15774647887323945
51,5.0,352.0,88.0,10.0,78.0,52.0,147.0,Mid_B,Mid,B,0.10352112676056338
52,5.0,299.0,33.22,4.0,101.0,47.0,221.0,Mid_B,Mid,B,0.1556338028169014
53,5.0,349.0,34.9,12.0,75.0,49.0,162.0,Mid_B,Mid,B,0.11408450704225352
54,5.0,314.0,31.4,10.0,106.0,58.0,202.0,Mid_B,Mid,B,0.14225352112676057
55,4.0,418.0,104.5,7.0,28.0,38.0,53.0,Mid_B,Mid,B,0.03732394366197183
56,4.0,274.0,91.33,7.0,97.0,40.0,180.0,Mid_B,Mid,B,0.1267605633802817
57,4.0,349.0,Inf,14.0,78.0,52.0,108.0,Mid_B,Mid,B,0.07605633802816901
58,4.0,513.0,64.12,16.0,27.0,51.0,79.0,Mid_B,Mid,B,0.05563380281690141
59,6.0,385.0,38.5,15.0,58.0,52.0,89.0,Mid_B,Mid,B,0.06267605633802817
60,5.0,448.0,448.0,11.0,22.0,47.0,58.0,Mid_B,Mid,B,0.04084507042253521
61,6.0,468.0,46.8,12.0,22.0,68.0,53.0,Mid_B,Mid,B,0.03732394366197183
62,6.0,327.0,46.71,6.0,106.0,44.0,219.0,Mid_B,Mid,B,0.15422535211267605
63,5.0,376.0,62.67,15.0,76.0,54.0,164.0,Mid_B,Mid,B,0.11549295774647887
64,5.0,282.0,28.2,6.0,106.0,54.0,188.0,Mid_B,Mid,B,0.1323943661971831
65,5.0,342.0,38.0,11.0,92.0,47.0,189.0,Mid_B,Mid,B,0.13309859154929576
66,5.0,177.0,19.67,2.0,127.0,38.0,199.0,Mid_B,Mid,B,0.14014084507042254
67,6.0,387.0,38.7,10.0,54.0,52.0,114.0,Mid_B,Mid,B,0.08028169014084507
68,6.0,223.0,55.75,3.0,111.0,44.0,182.0,Mid_B,Mid,B,0.12816901408450704
69,7.0,419.0,41.9,13.0,63.0,48.0,113.0,Mid_B,Mid,B,0.0795774647887324
70,7.0,402.0,44.67,9.0,87.0,57.0,192.0,Mid_B,Mid,B,0.1352112676056338
71,5.0,305.0,43.57,10.0,89.0,45.0,165.0,Mid_B,Mid,B,0.11619718309859155
72,5.0,500.0,50.0,9.0,11.0,65.0,25.0,Mid_B,Mid,B,0.017605633802816902
73,5.0,233.0,46.6,5.0,102.0,36.0,150.0,Mid_B,Mid,B,0.1056338028169014
74,5.0,442.0,442.0,14.0,21.0,55.0,38.0,Mid_B,Mid,B,0.02676056338028169
75,5.0,260.0,32.5,6.0,109.0,49.0,221.0,Mid_B,Mid,B,0.1556338028169014
76,5.0,300.0,75.0,6.0,85.0,46.0,157.0,Mid_B,Mid,B,0.11056338028169015
77,4.0,369.0,61.5,13.0,72.0,55.0,109.0,Mid_B,Mid,B,0.07676056338028169
78,5.0,389.0,77.8,11.0,61.0,46.0,116.0,Mid_B,Mid,B,0.08169014084507042
79,5.0,220.0,55.0,4.0,128.0,50.0,195.0,Mid_B,Mid,B,0.13732394366197184
80,5.0,493.0,49.3,16.0,34.0,52.0,93.0,Mid_B,Mid,B,0.06549295774647887
81,6.0,253.0,Inf,5.0,130.0,46.0,261.0,Mid_B,Mid,B,0.18380281690140846
82,5.0,424.0,42.4,13.0,64.0,53.0,111.0,Mid_B,Mid,B,0.07816901408450705
83,4.0,291.0,29.1,14.0,94.0,45.0,169.0,Mid_B,Mid,B,0.11901408450704225
84,5.0,476.0,158.67,16.0,33.0,51.0,66.0,Mid_B,Mid,B,0.04647887323943662
85,6.0,244.0,40.67,4.0,123.0,37.0,199.0,Mid_B,Mid,B,0.14014084507042254
86,6.0,243.0,40.5,7.0,110.0,46.0,223.0,Mid_B,Mid,B,0.15704225352112677
87,5.0,229.0,22.9,5.0,121.0,44.0,278.0,Mid_B,Mid,B,0.19577464788732393
88,6.0,335.0,33.5,4.0,86.0,46.0,204.0,Mid_B,Mid,B,0.14366197183098592
89,5.0,227.0,22.7,2.0,121.0,42.0,188.0,Mid_B,Mid,B,0.1323943661971831
90,5.0,368.0,36.8,10.0,66.0,48.0,169.0,Mid_B,Mid,B,0.11901408450704225
91,5.0,385.0,38.5,9.0,73.0,51.0,105.0,Mid_B,Mid,B,0.07394366197183098
92,5.0,474.0,Inf,13.0,17.0,49.0,31.0,Mid_B,Mid,B,0.021830985915492956
93,5.0,294.0,29.4,7.0,87.0,49.0,168.0,Mid_B,Mid,B,0.11830985915492957
94,6.0,291.0,29.1,8.0,70.0,41.0,153.0,Mid_B,Mid,B,0.10774647887323943
95,6.0,273.0,136.5,7.0,130.0,58.0,263.0,Mid_B,Mid,B,0.1852112676056338
96,5.0,329.0,41.12,14.0,89.0,47.0,159.0,Mid_B,Mid,B,0.1119718309859155
97,5.0,251.0,25.1,3.0,113.0,46.0,194.0,Mid_B,Mid,B,0.13661971830985917
98,5.0,478.0,47.8,13.0,35.0,49.0,73.0,Mid_B,Mid,B,0.05140845070422535
99,4.0,494.0,98.8,12.0,20.0,65.0,53.0,Mid_B,Mid,B,0.03732394366197183
100,8.0,305.0,30.5,9.0,99.0,51.0,209.0,Mid_B,Mid,B,0.1471830985915493
1,4.0,344.0,34.4,6.0,8.0,62.0,17.0,Mid_A,Mid,A,0.011971830985915493
2,4.0,364.0,36.4,13.0,43.0,49.0,74.0,Mid_A,Mid,A,0.05211267605633803
3,6.0,338.0,112.67,2.0,8.0,60.0,7.0,Mid_A,Mid,A,0.004929577464788733
4,5.0,401.0,80.2,5.0,7.0,65.0,13.0,Mid_A,Mid,A,0.009154929577464789
5,5.0,383.0,38.3,4.0,3.0,57.0,8.0,Mid_A,Mid,A,0.005633802816901409
6,6.0,361.0,36.1,5.0,25.0,62.0,99.0,Mid_A,Mid,A,0.06971830985915493
7,5.0,299.0,29.9,7.0,65.0,50.0,124.0,Mid_A,Mid,A,0.08732394366197183
8,5.0,343.0,Inf,5.0,42.0,46.0,87.0,Mid_A,Mid,A,0.06126760563380282
9,5.0,285.0,95.0,9.0,42.0,49.0,74.0,Mid_A,Mid,A,0.05211267605633803
10,4.0,296.0,74.0,6.0,59.0,46.0,106.0,Mid_A,Mid,A,0.07464788732394366
11,6.0,327.0,32.7,6.0,60.0,55.0,141.0,Mid_A,Mid,A,0.09929577464788733
12,5.0,337.0,33.7,6.0,23.0,63.0,52.0,Mid_A,Mid,A,0.036619718309859155
13,4.0,305.0,30.5,7.0,55.0,48.0,115.0,Mid_A,Mid,A,0.08098591549295775
14,6.0,222.0,22.2,4.0,102.0,44.0,162.0,Mid_A,Mid,A,0.11408450704225352
15,6.0,284.0,31.56,6.0,94.0,59.0,147.0,Mid_A,Mid,A,0.10352112676056338
16,5.0,274.0,27.4,6.0,58.0,56.0,118.0,Mid_A,Mid,A,0.08309859154929577
17,4.0,300.0,33.33,7.0,3.0,56.0,12.0,Mid_A,Mid,A,0.008450704225352112
18,5.0,344.0,344.0,10.0,16.0,50.0,35.0,Mid_A,Mid,A,0.02464788732394366
19,5.0,336.0,67.2,7.0,33.0,54.0,87.0,Mid_A,Mid,A,0.06126760563380282
20,5.0,370.0,123.33,7.0,33.0,53.0,57.0,Mid_A,Mid,A,0.04014084507042254
21,7.0,260.0,130.0,4.0,72.0,39.0,197.0,Mid_A,Mid,A,0.1387323943661972
22,6.0,360.0,120.0,11.0,31.0,46.0,61.0,Mid_A,Mid,A,0.04295774647887324
23,4.0,294.0,29.4,4.0,78.0,51.0,150.0,Mid_A,Mid,A,0.1056338028169014
